UID          PID    PPID  C STIME TTY          TIME CMD
whoopsie     805       1  0 21:05 ?        00:00:00 /usr/bin/whoopsie -f
root         838       1  0 21:05 ?        00:00:01 /usr/bin/containerd
root         854       1  0 21:05 ?        00:00:00 /lib/systemd/systemd-logind
lp           861     693  0 21:05 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
kernoops     871       1  0 21:05 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     873       1  0 21:05 ?        00:00:00 /usr/sbin/kerneloops
root         960       1  0 21:05 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         962       1  0 21:05 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         965       1  0 21:05 ?        00:00:00 /usr/bin/stunnel4 /etc/stunnel/pt-controller.demo.local.conf
root         970       1  0 21:05 ?        00:00:00 /bin/bash /opt/API-SIMULATOR/start-API-SIMULATOR.sh
root         974       1  0 21:05 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root        1040       2  0 21:05 ?        00:00:00 bpfilter_umh
root        1110     970  0 21:05 ?        00:00:00 /opt/API-SIMULATOR/venv/bin/python api-simulator.py
root        1248    1110  0 21:06 ?        00:00:05 /opt/API-SIMULATOR/venv/bin/python api-simulator.py
uuidd       1250       1  0 21:06 ?        00:00:00 /usr/sbin/uuidd --socket-activation
root        1355       1  0 21:07 ?        00:00:00 /usr/sbin/lightdm
root        1362       1  0 21:07 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root        1395    1355  1 21:07 tty7     00:00:09 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1413    1355  0 21:07 ?        00:00:00 lightdm --session-child 13 16
devasc      1437       1  0 21:07 ?        00:00:00 /lib/systemd/systemd --user
devasc      1439    1437  0 21:07 ?        00:00:00 (sd-pam)
devasc      1455    1437  0 21:07 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
devasc      1456    1413  0 21:07 ?        00:00:00 mate-session
rtkit       1467       1  0 21:07 ?        00:00:00 /usr/libexec/rtkit-daemon
devasc      1472    1437  0 21:07 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
devasc      1598       1  0 21:07 ?        00:00:00 /usr/bin/VBoxClient --seamless
devasc      1600    1598  0 21:07 ?        00:00:00 /usr/bin/VBoxClient --seamless
devasc      1604       1  0 21:07 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
